"household_ID","number_wives","wealth","log_wealth","status","khazi","average_relatedness","outdegree_men_friends","outdegree_men_work","outdegree_women_friends","outdegree_women_work","indegree_men_friends","indegree_men_work","indegree_women_friends","indegree_women_work","outdegree_union_sharing","indegree_union_sharing","outdegree_intersection_sharing","indegree_intersection_sharing","years_education","average_age","sum_external_ties"
"pesu101",2,12385000,16.3319966209056,1,0,0.0415812702922078,2,4,10,4,5,5,11,5,14,16,6,6,12.5,18.75,11
"pesu102",1,11396500,16.2488168486813,0,0,0.0213482481060606,0,2,14,2,3,2,3,1,6,5,2,2,2.5,15,10
"pesu103",1,17458500,16.6753371940323,1,0,0.0217270359848485,6,2,5,2,5,7,3,1,9,9,6,5,2.5,14.5,9
"pesu104",2,14286500,16.4748255933846,1,1,0.037790009469697,3,3,8,0,7,4,8,2,9,9,2,3,30.5,22.1111111111111,6
"pesu105",1,95126500,18.3707181427472,1,0,0.0607543320789059,8,0,7,6,1,5,16,5,13,15,4,4,63,21.8333333333333,18
"pesu106",1,24122500,16.9986555728767,1,0,0.0494835351280664,11,11,10,0,8,8,13,3,13,11,3,3,19.5,18.5555555555556,5
"pesu107",1,26032500,17.0748563153862,0,0,0.0312060335497835,5,2,2,1,0,2,4,3,4,4,3,3,5,17.3333333333333,15
"pesu108",2,14363500,16.4802008244769,1,0,0.0300072634624046,2,4,4,1,5,5,16,8,17,19,3,3,13,14.3333333333333,6
"pesu110",1,19508000,16.7863351958121,1,0,0.0256728839736652,3,3,6,6,6,9,4,2,9,4,1,1,15.5,18,9
"pesu111",1,12005500,16.300875436083,0,0,0.0215063582251082,0,3,11,4,2,0,7,2,12,7,3,3,0.5,33.6,5
"pesu112",1,18985500,16.7591860878827,1,0,0.0159353016774892,1,0,8,2,1,2,2,1,3,3,2,2,7.5,19.75,13
"pesu113",1,5052000,15.4352947624525,0,0,0.0221857244318182,5,2,5,0,3,2,5,4,6,5,3,3,9,23,8
"pesu116",1,16563500,16.6227120372466,0,0,0.0432435403138528,6,0,12,3,0,1,5,2,10,9,3,6,6,17.4,18
"pesu117",1,11012000,16.2144961452446,1,0,0.0117356601731602,5,0,8,1,2,1,5,3,10,10,7,6,6,36.8571428571429,15
"pesu119",1,17563000,16.6813049744039,0,0,0.00993190836940837,7,0,7,0,1,0,3,3,5,9,1,1,24,24.1111111111111,12
"pesu120",1,11640500,16.2700009546715,0,0,0.0248372395833333,4,3,7,5,4,0,11,2,11,9,4,3,0,16.8,13
"pesu121",1,17474500,16.6762532333715,0,0,0.0217359138257576,3,3,1,3,0,0,0,2,6,6,1,1,18,15,9
"pesu122",1,20091000,16.8157825115603,1,0,0.0120941558441558,5,2,14,0,0,0,5,2,10,10,1,1,17,20.875,10
"pesu123",2,12671500,16.3548659351872,1,0,0.0535917207792208,2,5,4,3,6,3,13,4,15,15,3,3,11,18.75,5
"pesu124",2,12918500,16.3741709505075,1,0,0.0485826381214779,2,5,6,5,6,4,19,10,16,20,6,5,9,15,3
"pesu125",1,11617500,16.2680231399413,0,0,0.0269928639069264,1,1,4,3,0,0,3,4,5,4,3,3,18,20.25,17
"pesu126",1,25092500,17.0380795546701,1,1,0.0166141298332349,0,3,5,0,5,4,16,8,12,13,3,6,28.5,18.4166666666667,18
"pesu127",1,76497000,18.1527620823415,1,1,0.0314162833694084,5,3,4,4,15,2,12,2,15,17,7,7,18.5,22.7777777777778,13
"pesu128",1,15230000,16.5387777248713,0,1,0.0241863388347763,3,0,2,3,5,1,6,3,6,6,6,4,17.5,36.5,22
"pesu129",1,9807000,16.0986069743745,0,0,0.0137999091682127,0,0,0,0,0,0,9,1,7,4,2,1,2.5,27.5714285714286,5
"pesu131",2,7899500,15.882310024295,1,1,0.0276822352994228,3,1,8,3,1,0,2,1,7,8,1,1,0,20.5,2
"pesu132",2,8058000,15.9021759447334,0,1,0.0335497048978154,3,1,20,3,3,2,11,2,12,11,3,4,23,26.7142857142857,9
"pesu133",1,35428000,17.3830130259116,1,1,0.0183100280401417,6,4,17,0,8,8,10,6,23,23,6,5,35.5,24.6363636363636,30
"pesu134",1,28397000,17.161794063749,0,0,0.0249504224468713,0,1,12,1,1,2,7,2,6,7,2,3,7,19.9166666666667,11
"pesu135",1,24821000,17.0272006270177,1,1,0.00765692640692641,5,2,13,3,0,0,14,3,12,12,2,2,13,34.8,19
"pesu137",1,22300500,16.9201196577037,1,0,0.0351981026785714,4,4,4,3,0,0,2,1,7,10,2,3,14,19.3333333333333,9
"pesu138",1,12624000,16.3511103220678,0,0,0.0149514919604205,2,2,1,2,0,1,8,2,7,6,2,3,13,32.8571428571429,10
"pesu139",1,10347000,16.1522071805871,0,0,0.0134943181818182,0,0,8,6,4,0,21,9,19,16,6,5,17,33.75,NA
"pesu143",1,58394000,17.8827237027943,0,0,0.035644954004329,0,0,5,7,2,2,5,1,10,10,0,1,31.5,18.5454545454545,11
"pesu144",1,18016500,16.7067985626448,0,1,0.00822679924242424,5,6,18,5,2,1,3,1,13,10,3,2,13,43.25,15
"pesu145",2,21889500,16.901517627758,1,1,0.0285951028138528,4,0,9,10,5,2,4,2,11,11,3,4,31,22.25,33
"pesu147",1,17103000,16.6547644446818,0,0,0.0276223451028139,2,2,11,2,3,1,7,2,6,10,4,4,15,24.5,11
"pesu148",1,11028000,16.2159480511258,1,0,0.0657560538419913,4,3,14,9,3,3,7,4,13,13,5,5,10.5,15.4,9
"pesu149",1,72070500,18.093155364576,1,1,0.0606108518217893,4,4,9,1,5,5,14,6,12,14,5,4,20,21.6666666666667,20
"pesu152",2,40893000,17.5264694572211,0,0,0.0185250946969697,0,1,1,1,0,0,0,1,3,4,2,1,7,22.75,17
"pesu154",2,41605000,17.5437309103167,1,0,0.0305614884608722,0,1,5,3,0,0,5,1,6,7,2,1,2,20.0833333333333,16
"pesu157",2,19235500,16.7722680881119,0,0,0.0482038637877454,4,0,6,4,5,1,2,5,9,10,4,4,5,13.6666666666667,2
"pesu161",2,11656000,16.2713316268572,0,0,0.043121905931625,3,3,0,13,6,3,4,2,10,9,3,3,1.5,11.8333333333333,1
"pesu162",1,4080500,15.2217300878914,0,0,0,1,3,0,0,1,1,0,0,2,1,0,0,6,26,3
